index,having_IP_Address,URL_Length,Shortining_Service,having_At_Symbol,double_slash_redirecting,Prefix_Suffix,having_Sub_Domain,SSLfinal_State,Domain_registeration_length,Favicon,port,HTTPS_token,Request_URL,URL_of_Anchor,Links_in_tags,SFH,Submitting_to_email,Abnormal_URL,Redirect,on_mouseover,RightClick,popUpWidnow,Iframe,age_of_domain,DNSRecord,web_traffic,Page_Rank,Google_Index,Links_pointing_to_page,Statistical_report,Result
0,0,37,0,0,0,0,3,1,45,0,0,1,,,80.0,0,0,0,0,0,0,0,0,-1,1,0,4,1,17,0,legitimate
1,1,77,0,0,0,0,1,1,77,0,0,1,,,100.0,0,0,0,1,0,0,0,0,5767,0,0,2,1,30,0,phishing
2,1,126,0,0,0,1,3,0,14,0,0,0,,,100.0,0,0,0,1,0,0,0,0,4004,0,5828815,0,1,4,0,phishing
3,0,18,0,0,0,0,2,1,62,0,0,1,Suspicious,Suspicious,100.0,0,0,0,1,0,0,0,0,-1,0,107721,3,0,149,0,legitimate
4,0,55,0,0,0,0,2,1,224,0,0,1,,,76.47058824,0,0,0,1,0,0,0,0,8175,0,8725,6,0,102,0,legitimate
5,0,32,0,0,0,1,3,1,0,0,0,1,,,100.0,0,0,0,1,0,0,0,0,-1,0,0,0,1,10,0,phishing
6,0,19,0,0,0,0,2,1,170,1,0,1,Suspicious,Suspicious,0.0,0,0,0,1,0,0,0,0,7529,0,0,1,0,98,0,legitimate
7,1,81,0,0,0,0,2,1,76,0,0,1,,,100.0,0,0,0,1,0,0,0,0,5767,0,0,2,1,30,0,phishing
8,0,42,1,0,0,0,2,1,371,1,0,1,Phishing,Suspicious,0.0,0,0,0,0,0,0,0,0,7298,0,0,5,0,63,0,legitimate
9,0,104,0,0,0,0,1,0,128,1,0,0,,,93.10344828,0,0,0,0,0,0,0,0,9368,0,6774,5,0,140,0,legitimate
10,0,56,0,0,0,0,3,0,0,0,0,0,Legitimate,Legitimate,100.0,0,0,0,0,0,0,0,0,-1,0,1627089,2,0,15,0,legitimate
11,0,43,0,0,0,0,2,0,489,0,0,0,Legitimate,Legitimate,100.0,0,0,0,0,0,0,0,0,7911,0,944,6,0,88,0,legitimate
12,0,83,0,0,0,0,1,0,320,0,0,0,Suspicious,Suspicious,100.0,0,0,0,0,0,0,0,0,1505,0,158942,4,0,325,0,legitimate
13,0,31,0,0,0,0,2,1,66,0,0,1,Legitimate,Legitimate,0.0,0,0,0,1,0,0,0,0,1761,0,1173197,4,1,3,0,phishing
14,0,25,0,0,0,0,2,0,880,1,0,0,,,82.35294118,0,0,0,0,0,0,0,0,2041,0,4297684,2,0,211,0,legitimate
15,0,51,0,0,0,0,3,1,490,0,0,1,,,100.0,0,0,0,1,0,0,0,0,3892,0,0,4,0,50,0,phishing
16,0,31,1,0,0,0,2,0,3069,0,0,0,Legitimate,Legitimate,100.0,0,0,0,0,0,0,0,0,8301,0,99386,4,0,125,0,legitimate
17,0,50,0,0,0,0,2,1,1337,0,0,1,,,100.0,0,0,0,1,0,0,0,0,2316,0,0,0,1,23,0,phishing
18,0,34,0,0,0,0,2,1,352,0,0,1,,,0.0,0,0,0,0,0,0,0,0,2935,1,0,0,1,0,0,phishing
